DTL_ADRES,USE_SE_CD,LO,VT_ACMDFCLTY_NM,RN_DTL_ADRES,ACMD_BULD_MNG_NO,BDONG_CD,ARCD,HDONG_CD,FCLTY_AR,LA,ACMDFCLTY_SN,EQK_ACMDFCLTY_ADRES,TELNO,VT_ACMD_PSBL_NMPR
1704-4,1,126.9270498,합실어린이공원,,,1162010200,1162000000,1162064000,1220,37.46511246,110,서울특별시 관악구 신림동 1704-4,02-879-4771,1479
,1,128.1097927,개양중학교 운동장,경상남도 진주시 동부로 27(가좌동),,4817013100,4817000000,4817074000,2933,35.16012709,53,경상남도 진주시 가좌동 669,055-756-5502,3555
,1,126.9892801,용암초등학교 운동장,서울특별시 용산구 녹사평대로60길 39(용산동2가),,1117010200,1117000000,1117052000,3141,37.54489518,24,서울특별시 용산구 용산동2가 5-1488,02-796-0456,3807
,1,127.0236967,금호고등학교 운동장,서울특별시 성동구 금호로 118(금호동1가),,1120010900,1120000000,1120059000,1500,37.55323384,38,서울특별시 성동구 금호동1가 1822,02-2022-0808,1818
,1,127.1628846,성남동초등학교 운동장,경기도 성남시 중원구 자혜로32번길 10(금광동),,4113310300,4113000000,4113354000,9360,37.44926778,23,경기도 성남시 중원구 금광동 3365,031-746-6952,11346
,1,127.1221761,내정초등학교 운동장,경기도 성남시 분당구 내정로174번길 19(수내동),,4113510200,4113000000,4113553000,6778,37.37278662,33,경기도 성남시 분당구 수내동 57,031-711-1905,8216
,1,126.945481,도화소어린이공원,서울특별시 마포구 토정로37길 22(도화동),,1144010400,1144000000,1144059000,2098,37.54104933,89,서울특별시 마포구 도화동 540,02-3153-9557,2543
,1,126.8386444,태양어린이공원,서울특별시 양천구 오목로3길 34(신월동),,1147010300,1147000000,1147059000,998,37.52436288,84,서울특별시 양천구 신월동 422-1,02-2620-4565,1210
,1,126.8292962,강신초등학교 운동장,,,1147010300,1147000000,1147060000,2570,37.54253675,85,서울특별시 양천구 신월동 6-7,02-2697-3036,3115
,1,126.828382,방아다리어린이공원,,,1147010300,1147000000,1147056000,869,37.5386692,86,서울특별시 양천구 신월동 56-1,02-2620-3586,1053
,1,126.8315699,신오어린이공원,서울특별시 양천구 남부순환로33길 38(신월동),,1147010300,1147000000,1147060000,872,37.5381966,87,서울특별시 양천구 신월동 73-2,02-2620-3586,1057
,1,126.8289573,신월중학교 운동장,,,1147010300,1147000000,1147060000,6489,37.540469,88,서울특별시 양천구 신월동 17-6,02-2601-4254,7866
,1,126.8384788,강신어린이공원,,,1147010300,1147000000,1147056000,1511,37.51555911,90,서울특별시 양천구 신월동 1012-2,02-2620-3586,1832
,1,126.8391966,강신중학교 운동장,,,1147010300,1147000000,1147061000,4542,37.51439372,91,서울특별시 양천구 신월동 1010,02-2695-8517,5505
,1,126.8341281,강월초등학교 운동장,,,1147010300,1147000000,1147061100,4528,37.516044,94,서울특별시 양천구 신월동 987-3,070-4810-0012,5488
,1,126.8337894,신월공원,서울특별시 양천구 신월로 99-1 (신월동),,1147010300,1147000000,1147061100,725,37.51799317,95,서울특별시 양천구 신월동 987-2,02-2620-3584,879
,1,126.8308337,양천중학교 운동장,,,1147010300,1147000000,1147061100,3463,37.52014066,96,서울특별시 양천구 신월동 948,02-2694-2715,4198
,1,126.8367625,오솔길공원,서울특별시 양천구 남부순환로72길 16(신월동),,1147010300,1147000000,1147061100,349,37.5212443,97,서울특별시 양천구 신월동 977,02-2620-4569,423
,1,126.832195,한울근린공원,서울특별시 양천구 지양로7길 27-5 (신월동),,1147010300,1147000000,1147061100,313,37.51985395,98,서울특별시 양천구 신월동 956,02-2620-3584,379
,1,126.8585227,꿈나무어린이공원,,,1147010100,1147000000,1147062000,380,37.51767565,99,서울특별시 양천구 신정동 311-1,02-2620-3584,461
,1,126.888737,송라초등학교 운동장,경기도 화성시 효행구 매송면 푸른들판로 1970-16 ,,4159331026,4159000000,4159331000,2733,37.27279776,78,경기도 화성시 효행구 매송면 송라리 585,031-5189-3456,3312
,1,127.986605,화당초등학교  운동장,충청북도 제천시 백운면 화당로 33,,4315036024,4315000000,4315036000,14642,37.16885302,43,충청북도 제천시 백운면 화당리 84-1,043-641-6215,17747
,1,127.1283776,성일초등학교운동장,서울특별시 강동구 성내로15길 33(성내동),,1174010800,1174000000,1174064000,8065,37.52911722,36,서울특별시 강동구 성내동 531,02-475-4641,9776
,1,126.9335461,여의도고등학교 운동장,서울특별시 영등포구 국제금융로7길 37(여의도동),,1156011000,1156000000,1156054000,8796,37.5250094,50,서울특별시 영등포구 여의도동 30-1,02-2670-3065,10662
50-0,1,126.9731489,두텁바위공원,,,1117010700,1117000000,1117053000,2623,37.55213299,30,서울특별시 용산구 동자동 50,02-2199-7605,3179
,1,127.1397,양영초등학교 운동장,경기도 성남시 분당구 불정로406번길 17(서현동),,4113510500,4113000000,4113559000,9213,37.3748,45,경기도 성남시 분당구 서현동 319,031-707-0123,11167
,1,126.8543071,단지어린이공원,"서울특별시 양천구 중앙로36길 15(신정동, 목동힐스테이트)",,1147010100,1147000000,1147062000,3000,37.51982492,100,서울특별시 양천구 신정동 1323-1,02-2620-3584,3636
,1,126.8565242,신트리공원,서울특별시 양천구 목동동로 3(신정동),,1147010100,1147000000,1147062000,500,37.51463638,101,서울특별시 양천구 신정동 310-7,02-2620-3584,606
,1,126.8559173,신서중학교 운동장,,,1147010100,1147000000,1147062000,6000,37.51539496,102,서울특별시 양천구 신정동 310-6,02-2654-8018,7273
,1,126.8625492,신서초등학교 운동장,,,1147010100,1147000000,1147062000,4900,37.52013738,103,서울특별시 양천구 신정동 312-1,02-2648-0879,5939
,1,126.8566937,양명초등학교 운동장,,,1147010100,1147000000,1147062000,2400,37.51567978,104,서울특별시 양천구 신정동 310-6,02-6119-5681,2909
Jan-88,1,126.8713617,목동중학교 운동장,서울특별시 양천구 목동동로 172(신정동),,1147010100,1147000000,1147063000,4451,37.52047402,105,서울특별시 양천구 신정동 88-1,02-2643-1103,5395
Feb-86,1,126.8720913,목동초등학교 운동장,서울특별시 양천구 목동동로12길 12(신정동),,1147010100,1147000000,1147063000,1746,37.52249072,106,서울특별시 양천구 신정동 86-2,02-2646-7403,2116
281-2,1,126.8729067,신목초등학교 운동장,서울특별시 양천구 신목로5길 11-6 (신정동),,1147010100,1147000000,1147063000,1555,37.51689147,107,서울특별시 양천구 신정동 281-2,02-2649-8496,1885
,1,126.8758746,신세계어린이공원,,,1147010100,1147000000,1147063000,520,37.52172856,108,서울특별시 양천구 신정동 119-3,02-2620-3584,630
,1,126.8442534,금옥중학교 운동장,,,1147010100,1147000000,1147064000,2750,37.51007744,110,서울특별시 양천구 신정동 729,070-4373-5681,3333
653-5,1,126.8539864,남명초등학교 운동장,서울특별시 양천구 중앙로23길 3(신정동),,1147010100,1147000000,1147064000,5900,37.51498524,111,서울특별시 양천구 신정동 653-5,070-4688-7809,7152
,1,126.8390786,넓은들어린이공원,서울특별시 양천구 남부순환로88길 19(신정동),,1147010100,1147000000,1147064000,3288,37.51117361,112,서울특별시 양천구 신정동 767,02-2620-3576,3985
,1,126.8404733,넘은들공원,,,1147010100,1147000000,1147062000,16159,37.51299542,113,서울특별시 양천구 신정동 1286,02-2620-3576,19587
,1,126.8541825,신기초등학교 운동장,,,1147010100,1147000000,1147064000,6440,37.51096211,114,서울특별시 양천구 신정동 1274,02-2601-9850,7806
,1,126.8325098,신은초등학교 운동장,,,1147010100,1147000000,1147064000,1200,37.51342712,115,서울특별시 양천구 신정동 1319,02-6210-0675,1455
,1,126.8597103,신서고등학교  운동장,,,1147010100,1147000000,1147065000,1167,37.52377925,116,서울특별시 양천구 신정동 984-1,02-2690-0025,1415
,1,126.8583647,앞산어린이공원,서울특별시 양천구 중앙로52길 73(신정동),,1147010100,1147000000,1147065000,592,37.5264372,117,서울특별시 양천구 신정동 910-9,02-2620-3583,718
,1,126.8611106,양목초등학교 운동장,,,1147010100,1147000000,1147065000,3016,37.52362157,118,서울특별시 양천구 신정동 1001,02-2603-6070,3656
936-13,1,126.8512183,음골어린이공원,,,1147010100,1147000000,1147062000,824,37.52739186,119,서울특별시 양천구 신정동 936-13,02-2620-3583,999
,1,126.976448,새나라어린이공원,,,1117010100,1117000000,1117051000,1735,37.5478906,21,서울특별시 용산구 후암동 190-1,02-2199-7605,2103
,1,126.9682058,청파문화공원,,,1117010800,1117000000,1117055500,1281,37.5536149,31,서울특별시 용산구 서계동 226-3,02-2199-7605,1552
,1,126.9685015,돌모루어린이공원,서울특별시 용산구 원효로97길 50(청파동3가),,1117011100,1117000000,1117055500,1900,37.54291691,32,서울특별시 용산구 청파동3가 118-102,02-2199-7605,2303
,1,127.049947,청담목련어린이공원,,,1168010400,1168000000,1168056500,750,37.52295676,139,서울특별시 강남구 청담동 51,02-3423-7717,909
,1,126.9128758,잔다리어린이공원,서울특별시 마포구 동교로 95(서교동),,1144012000,1144000000,1144066000,758,37.55463491,82,서울특별시 마포구 서교동 479-1,02-3153-9557,919
896-22,1,126.8622556,홍익어린이공원,,,1147010100,1147000000,1147062000,713,37.52858519,120,서울특별시 양천구 신정동 896-22,02-2620-3583,864
326-2,1,126.8613102,호돌이어린이공원,,,1147010100,1147000000,1147062000,3528,37.51245558,121,서울특별시 양천구 신정동 326-2,02-2620-3586,4276
,1,126.8745818,목일중학교 운동장,,,1147010100,1147000000,1147067000,1878,37.51313083,122,서울특별시 양천구 신정동 330-2,02-2646-0552,2276
,1,126.8739325,신목고등학교 운동장,,,1147010100,1147000000,1147067000,3278,37.5124607,123,서울특별시 양천구 신정동 330-3,070-8720-5010,3973
,1,126.8680894,양천근린공원,서울특별시 양천구 목동동로 지하111(신정동),,1147010100,1147000000,1147067000,31066,37.51795519,124,서울특별시 양천구 신정동 320,02-2620-3586,37656
,1,126.8722242,해누리체육공원,서울특별시 양천구 안양천로 711(신정동),,1147010100,1147000000,1147067000,29149,37.51163752,125,서울특별시 양천구 신정동 330-4,02-2620-3586,35332
,1,126.8701068,갈산초등학교 운동장,,,1147010100,1147000000,1147068000,3528,37.51165732,126,서울특별시 양천구 신정동 330-10,02-2649-7232,4276
,1,126.8601496,계남초등학교 운동장,,,1147010100,1147000000,1147068000,5363,37.50973211,127,서울특별시 양천구 신정동 325-7,02-2645-8754,6501
,1,126.8690019,갈산공원,서울특별시 양천구 목동남로 106-23 (신정동),,1147010100,1147000000,1147068000,4591,37.5080354,128,서울특별시 양천구 신정동 163-55,02-2620-3586,5565
,1,126.8607357,목동고등학교 운동장,,,1147010100,1147000000,1147068000,716,37.50887941,129,서울특별시 양천구 신정동 325-8,02-2652-1701,868
,1,127.1505085,성남북초등학교 운동장,경기도 성남시 수정구 희망로534번길 3(산성동),,4113110500,4113000000,4113160000,6696,37.4519514,17,경기도 성남시 수정구 산성동 2137,031-746-7702,8116
,1,126.883921,구룡(근린)공원,서울특별시 마포구 월드컵북로 456(상암동),,1144012700,1144000000,1144074000,14286,37.58299567,75,서울특별시 마포구 상암동 1583,02-3153-9557,17316
,1,126.9233352,홍익어린이공원,서울특별시 마포구 와우산로21길 19-3 (서교동),,1144012000,1144000000,1144066000,2312,37.5522391,80,서울특별시 마포구 서교동 359,02-3153-9557,2802
207-21,1,126.9043614,증산중학교 운동장,서울특별시 은평구 증산로5길 27-30 (증산동),,1138011000,1138000000,1138064000,3781,37.58337936,86,서울특별시 은평구 증산동 207-21,02-303-9294,4583
,1,127.132499,공주대학교옥룡캠퍼스 운동장,충청남도 공주시 우금티로 753(옥룡동),,4415010900,4415000000,4415056000,2760,36.451913,27,충청남도 공주시 옥룡동 201,041-840-2293,3345
,1,126.8079592,용강중학교 운동장,충청남도 부여군 구룡면 성충로 1429,,4476035024,4476000000,4476035000,6000,36.25114463,4,충청남도 부여군 구룡면 태양리 340,041-832-2840,7272
,1,126.8570394,양화초등학교 운동장,충청남도 부여군 양화면 충절로 215,,4476040026,4476000000,4476040000,4200,36.12816092,25,충청남도 부여군 양화면 족교리 201-2,041-833-3090,5090
,1,126.8933339,임천초등학교 운동장,충청남도 부여군 임천면 성흥로97번길 15,,4476041021,4476000000,4476041000,3000,36.19097087,30,충청남도 부여군 임천면 군사리 252,041-837-0712,3636
,1,127.0142963,온양여자고등학교 운동장,충청남도 아산시 온여고길21번길 21(풍기동),,4420011100,4420000000,4420062000,7546,36.77828441,18,충청남도 아산시 풍기동 214-25,041-538-6000,9147
261-0,1,126.9954219,온양고등학교 운동장,충청남도 아산시 온천대로 1411(온천동),,4420010100,4420000000,4420057000,9690,36.78528083,20,충청남도 아산시 온천동 261,041-539-1800,11745
,1,127.013603,온양여자중학교 운동장,충청남도 아산시 온여고길21번길 22(풍기동),,4420011100,4420000000,4420062000,6773,36.776715,40,충청남도 아산시 풍기동 214-28,041-544-3161,8210
685-143,1,127.0386565,성수중학교 운동장,서울특별시 성동구 서울숲길 18(성수동1가),,1120011400,1120000000,1120066000,2596,37.54797141,50,서울특별시 성동구 성수동1가 685-143,02-463-4993,3147
,1,127.0583888,경수중학교 운동장,서울특별시 성동구 뚝섬로13길 14(성수동2가),,1120011500,1120000000,1120067000,2739,37.53910481,52,서울특별시 성동구 성수동2가 268,02-6710-2820,3320
,1,126.6809582,군산산북초등학교 운동장,전북특별자치도 군산시 원산북2길 29(산북동),,5213015100,5213000000,5213072000,3859,35.96418343,16,전북특별자치도 군산시 산북동 3580,063-454-3865,4678
,1,126.7066342,군산서초등학교 운동장,전북특별자치도 군산시 중앙로 230(금동),,5213010300,5213000000,5213051500,2354,35.99029435,17,전북특별자치도 군산시 금동 20-3,063-445-1680,2853
,1,126.887809,안천중학교 운동장,서울특별시 금천구 한내로 69-44 (독산동),,1154510200,1154500000,1154561000,4105,37.45913205,18,서울특별시 금천구 독산동 1089,02-894-1391,4976
,1,126.8965947,금나래초등학교 운동장,서울특별시 금천구 시흥대로79길 37(독산동),,1154510200,1154500000,1154561000,1839,37.45783403,19,서울특별시 금천구 독산동 1153,02-807-9829,2229
,1,126.8910248,두산초등학교 운동장,,,1154510200,1154500000,1154561000,4295,37.4670691,20,서울특별시 금천구 독산동 1002-5,02-804-1113,5206
,1,126.8959745,세일중학교 운동장,,,1154510200,1154500000,1154561000,4293,37.4741647,21,서울특별시 금천구 독산동 147-2,02-856-1049,5204
,1,126.889885,철쭉어린이공원,서울특별시 금천구 금하로1마길 15-8 (독산동),,1154510200,1154500000,1154561000,1417,37.45306096,22,서울특별시 금천구 독산동 1112,02-2627-1654,1718
,1,126.9000723,독산초등학교 운동장,,,1154510200,1154500000,1154562000,2592,37.46518859,24,서울특별시 금천구 독산동 1034,02-895-0533,3142
1056-5,1,126.8992943,독산마을공원,서울특별시 금천구 시흥대로98길 27(독산동),,1154510200,1154500000,1154562000,2243,37.46383935,25,서울특별시 금천구 독산동 1056-5,02-2627-1657,2719
,1,126.9063137,정훈어린이공원,서울특별시 금천구 독산로58나길 64(독산동),,1154510200,1154500000,1154562000,1038,37.46563141,26,서울특별시 금천구 독산동 378-1,2627-1655,1258
,1,126.9010373,무지개어린이공원,서울특별시 금천구 시흥대로90길 60-3 (독산동),,1154510200,1154500000,1154562000,684,37.462963,27,서울특별시 금천구 독산동 1063-14,02-2627-1657,829
,1,126.91249,금천초등학교 운동장,,,1154510300,1154500000,1154571000,2599,37.45452652,28,서울특별시 금천구 시흥동 216,02-802-7293,3150
,1,126.9049949,백산초등학교 운동장,,,1154510300,1154500000,1154571000,2984,37.44708232,29,서울특별시 금천구 시흥동 438-5,02-803-8812,3617
1164-2,1,128.2620978,송학초등학교  운동장,충청북도 제천시 송학면 시곡포전로 7,,4315038024,4315000000,4315038000,3670,37.18544606,38,충청북도 제천시 송학면 시곡리 1164-2,043-641-6215,4448
,1,128.1519937,문산중학교 운동장,경상남도 진주시 충의로 68(충무공동),,4817013700,4817000000,4817075000,3382,35.17685383,58,경상남도 진주시 충무공동 273-1,055-761-4008,4099
,1,126.9353592,여의도중학교 운동장,서울특별시 영등포구 국제금융로7길 46(여의도동),,1156011000,1156000000,1156054000,8057,37.52375858,56,서울특별시 영등포구 여의도동 40-1,02-2670-3065,9766
,1,127.0127193,옥정중학교 운동장,서울특별시 성동구 한림말길 11(옥수동),,1120011300,1120000000,1120064500,3189,37.54142377,43,서울특별시 성동구 옥수동 227,02-2298-1407,3865
556-1,1,127.010268,동호초등학교 운동장,서울특별시 성동구 매봉길 49-35 (옥수동),,1120011300,1120000000,1120064500,990,37.54635519,45,서울특별시 성동구 옥수동 556-1,02-2299-8370,1200
,1,126.9047141,시흥초등학교 운동장,,,1154510300,1154500000,1154567000,3687,37.45476921,32,서울특별시 금천구 시흥동 841-19,02-802-0129,4469
,1,126.8984294,문일고등학교 운동장,,,1154510300,1154500000,1154567000,11153,37.44937737,33,서울특별시 금천구 시흥동 559-1,02-802-2301,13519
,1,126.8992319,문백초등학교 운동장,,,1154510300,1154500000,1154567000,1841,37.44720027,34,서울특별시 금천구 시흥동 564-5,02-803-8965,2232
,1,126.9041571,새재미공원,서울특별시 금천구 독산로39길 16(시흥동),,1154510300,1154500000,1154567000,997,37.4589978,36,서울특별시 금천구 시흥동 855-1,02-2627-1654,1208
,1,126.9085588,정심초등학교 운동장,,,1154510200,1154500000,1154564000,2932,37.47127359,37,서울특별시 금천구 독산동 182-44,02-856-2677,3554
,1,126.9039848,쌈지어린이공원,,,1154510200,1154500000,1154564000,866,37.47085597,38,서울특별시 금천구 독산동 189-1,02-2627-1654,1050
,1,126.9045238,한사랑어린이공원,,,1154510200,1154500000,1154564000,522,37.46770886,40,서울특별시 금천구 독산동 925-2,02-2627-1654,633
,1,126.908763,신흥초등학교 운동장,,,1154510300,1154500000,1154570000,3252,37.45925441,41,서울특별시 금천구 시흥동 704-56,02-894-5149,3942
,1,126.9071208,한울중학교 운동장,,,1154510300,1154500000,1154570000,2931,37.46216015,42,서울특별시 금천구 시흥동 792-1,02-856-4941,3553
,1,126.9164126,금동초등학교 운동장,,,1154510300,1154500000,1154568000,2592,37.44742414,46,서울특별시 금천구 시흥동 1013-1,02-809-2125,3142
,1,126.9140645,탑동초등학교 운동장,,,1154510300,1154500000,1154568000,2586,37.45266837,47,서울특별시 금천구 시흥동 230,02-894-6050,3134
,1,126.9891578,석성초등학교 운동장,충청남도 부여군 석성면 석성로 113-8 ,,4476044021,4476000000,4476044000,3000,36.22332139,20,충청남도 부여군 석성면 석성리 745-1,041-836-9091,3636
343-1,1,128.8211694,신상중학교,경상북도 경산시 진량읍 공단1로1길 36-8 ,,4729025321,4729000000,4729025300,2400,35.87487215,61,경상북도 경산시 진량읍 신상리 343-1,053-810-5596,2909
,1,126.9164028,갈곡리어린이공원,서울특별시 은평구 갈현로41길 3(갈현동),,1138010400,1138000000,1138055100,957,37.62394599,37,서울특별시 은평구 갈현동 436-51,02-351-8018,1160
,1,126.9185897,박석어린이공원,서울특별시 은평구 통일로89길 18-14 (갈현동),,1138010400,1138000000,1138055100,738,37.62515268,38,서울특별시 은평구 갈현동 416-3,02-351-8018,894
,1,128.5145045,성지중학교 학교운동장,대구광역시 달서구 성서동로 361(이곡동),,2729010800,2729000000,2729057600,3601,35.85312203,232,대구광역시 달서구 이곡동 1300-2,053-234-3281,4364
,1,126.9110493,난곡중학교 운동장,,,1154510200,1154500000,1154563000,6057,37.47759165,51,서울특별시 금천구 독산동 906-41,070-5080-0703,7342
,1,126.9081825,문성중학교 운동장,,,1154510200,1154500000,1154563000,4176,37.47570946,52,서울특별시 금천구 독산동 61,02-868-4052,5062
,1,126.9093416,영남초등학교 운동장,,,1154510200,1154500000,1154563000,4261,37.47581874,53,서울특별시 금천구 독산동 59-27,02-861-7148,5165
,1,126.8992194,문성초등학교 운동장,,,1154510200,1154500000,1154563000,2773,37.47430733,54,서울특별시 금천구 독산동 982,02-866-3660,3361
,1,126.872566,목운중학교 운동장,,,1147010200,1147000000,1147051000,1799,37.5267027,41,서울특별시 양천구 목동 922,02-2650-1704,2181
,1,126.8732501,목운초등학교 운동장,,,1147010200,1147000000,1147051000,1598,37.52654159,42,서울특별시 양천구 목동 922,02-2061-5213,1936
,1,126.8674808,서정초등학교 운동장,서울특별시 양천구 목동로8길 19(목동),,1147010200,1147000000,1147051000,3671,37.52392045,43,서울특별시 양천구 목동 927-5,02-2648-7002,4449
,1,126.873202,오목공원,서울특별시 양천구 목동서로 159-2 (목동),,1147010200,1147000000,1147051000,21021,37.52799426,44,서울특별시 양천구 목동 921,02-2620-3576,25480
,1,126.9476884,세도초등학교 운동장,충청남도 부여군 세도면 세도로 68,,4476043024,4476000000,4476043000,4000,36.17524893,23,충청남도 부여군 세도면 청송리 466-3,041-833-0090,4848
268-4,1,126.9306895,신창중학교 운동장,충청남도 아산시 신창면 서부남로667번길 70,,4420041021,4420000000,4420041000,5643,36.79966344,57,충청남도 아산시 신창면 오목리 268-4,041-542-1139,6840
,1,127.1059655,천안차암초등학교 운동장,충청남도 천안시 서북구 스마일시티1로 50(차암동),,4413310600,4413000000,4413359000,3500,36.84459914,32,충청남도 천안시 서북구 차암동 549,041-413-3500,4242
,1,127.1232938,천안신촌초등학교 운동장,충청남도 천안시 동남구 신촌4로 9(신방동),,4413111600,4413000000,4413157000,4000,36.78683101,51,충청남도 천안시 동남구 신방동 768-1,041-577-6854,4848
,1,127.1350599,천안봉명초등학교 운동장,충청남도 천안시 동남구 봉명2길 11(봉명동),,4413111300,4413000000,4413155000,4000,36.80565938,55,충청남도 천안시 동남구 봉명동 214,041-573-6114,4848
,1,127.1622389,천안신안초등학교 운동장,충청남도 천안시 동남구 원성25길 21(신부동),,4413111800,4413000000,4413159000,6000,36.81494658,68,충청남도 천안시 동남구 신부동 58-11,041-622-7607,7273
,1,127.032351,숭곡초등학교 운동장,서울특별시 성북구 종암로40길 30(하월곡동),,1129013600,1129000000,1129068500,4106,37.60842209,39,서울특별시 성북구 하월곡동 84-86,02-912-1656,4976
,1,127.0411897,해태어린이공원,,,1132010800,1132000000,1132052100,973,37.67200765,31,서울특별시 도봉구 도봉동 614-37,02-2091-5824,1186
,1,127.0408332,신창어린이공원,,,1132010700,1132000000,1132051100,579,37.64006007,59,서울특별시 도봉구 창동 449-103,02-2091-5727,706
,1,127.0529466,유만어린이공원,,,1132010700,1132000000,1132051100,1500,37.65038092,63,서울특별시 도봉구 창동 33-4,02-2091-5755,1829
,1,127.0517703,모랫어린이공원,,,1132010700,1132000000,1132051100,1500,37.64683603,64,서울특별시 도봉구 창동 30-1,02-2091-5755,1829
,1,127.0522232,대창어린이공원,,,1132010700,1132000000,1132051100,1500,37.64434316,65,서울특별시 도봉구 창동 38-4,02-2091-5755,1829
,1,126.9560465,숭실대학교 운동장,서울특별시 동작구 상도로 369(상도동),,1159010200,1159000000,1159053000,7904,37.49727398,27,서울특별시 동작구 상도동 511,02-820-0209,9581
,1,127.0795629,중목초등학교 운동장,서울특별시 중랑구 동일로 665(면목동),,1126010100,1126000000,1126052000,1820,37.58981933,26,서울특별시 중랑구 면목동 180-5,02-2094-0025,2206
,1,127.1473641,천안두정초등학교 운동장,충청남도 천안시 서북구 두정역서1길 10(두정동),,4413310400,4413000000,4413358000,2800,36.83614637,38,충청남도 천안시 서북구 두정동 1626,041-622-9581,3394
,1,127.1516085,천안초등학교 운동장,충청남도 천안시 동남구 복자1길 12-11 (성황동),,4413110200,4413000000,4413152000,10000,36.81320774,67,충청남도 천안시 동남구 성황동 36,041-563-1843,12121
,1,127.1422616,성덕고등학교 운동장(성덕여자중학교 운동장),서울특별시 강동구 구천면로 396(천호동),,1174010900,1174000000,1174060000,5320,37.54988659,55,서울특별시 강동구 천호동 23-3,02-475-4620,6448
,1,128.1015678,가람초등학교 운동장,경상남도 진주시 남강로959번길 22(상평동),,4817012100,4817000000,4817068000,2767,35.17333766,56,경상남도 진주시 상평동 278-1,055-757-1032,2967
,1,126.9494547,일선어린이공원,서울특별시 관악구 쑥고개로26길 24(봉천동),,1162010100,1162000000,1162052500,1028,37.47797611,87,서울특별시 관악구 봉천동 1587-7,02-879-4381,1246
,1,127.1610195,강동고등학교 운동장,서울특별시 강동구 구천면로 572(상일동),,1174010300,1174000000,1174052000,4560,37.55025073,51,서울특별시 강동구 상일동 267,02-427-0233,5527
381-3,1,127.0739327,수경공원,서울특별시 중랑구 중랑천로 197(중화동),,1126010300,1126000000,1126061000,5675,37.60322332,57,서울특별시 중랑구 중화동 381-3,02-2094-0025,6878
,1,126.8128252,방화근린공원,서울특별시 강서구 금낭화로 178(방화동),,1150010900,1150000000,1150064100,45735,37.58150415,97,서울특별시 강서구 방화동 855,02-2600-4112,55436
,1,127.1071601,송곡고등학교운동장,서울특별시 중랑구 양원역로 50(망우동),,1126010500,1126000000,1126065500,5775,37.60540497,81,서울특별시 중랑구 망우동 239-1,02-435-0660,7000
,1,127.0270095,도선고등학교 운동장,서울특별시 성동구 마장로 156(하왕십리동),,1120010200,1120000000,1120053500,2730,37.56632339,19,서울특별시 성동구 하왕십리동 1070-4,070-5086-5732,3309
,1,127.042249,마장초등학교 운동장,서울특별시 성동구 마장로35나길 31(마장동),,1120010500,1120000000,1120054000,2064,37.56795554,24,서울특별시 성동구 마장동 766-49,02-2152-7908,2502
,1,127.0398768,동마중학교 운동장,서울특별시 성동구 마조로11길 18(마장동),,1120010500,1120000000,1120054000,3105,37.56231433,25,서울특별시 성동구 마장동 405-45,02-2294-6085,3764
,1,127.0425373,행당중학교 운동장,서울특별시 성동구 왕십리로 189(행당동),,1120010700,1120000000,1120055000,10048,37.554147,26,서울특별시 성동구 행당동 66-3,02-2293-6721,12179
,1,127.0399958,한양광장,서울특별시 성동구 왕십리로 246(행당동),,1120010700,1120000000,1120055000,2386,37.55811774,30,서울특별시 성동구 행당동 20-2,02-2286-5195,2892
378-0,1,127.0410832,무지개텃밭,서울특별시 성동구 살곶이길 327(행당동),,1120010700,1120000000,1120055000,6041,37.55393023,31,서울특별시 성동구 행당동 378,02-2286-6145,7322
,1,127.0363756,어린이꿈공원,서울특별시 성동구 왕십리로 281(행당동),,1120010700,1120000000,1120056000,2506,37.55917098,32,서울특별시 성동구 행당동 142-16,02-2286-5202,3038
,1,127.0409359,금곡초등학교 운동장,충청남도 아산시 배방읍 고불로 563-4 ,,4420025321,4420000000,4420025300,2436,36.74977802,4,충청남도 아산시 배방읍 중리 345,041-549-9014,2953
,1,126.9697014,신광초등학교 운동장,충청남도 아산시 서부북로 991(배미동),,4420011500,4420000000,4420060000,3737,36.7887028,27,충청남도 아산시 배미동 174-2,041-534-7215,4530
,1,127.129772,쌍용공원,,,4413310700,4413000000,4413353000,35000,36.81086634,11,충청남도 천안시 서북구 쌍용동 산 84,041-521-2770,42424
,1,127.1620881,천안소망초등학교 운동장,충청남도 천안시 서북구 성거읍 역전말3길 102,,4413325332,4413000000,4413325300,3500,36.87579481,17,충청남도 천안시 서북구 성거읍 소우리 188-29,041-587-0061,4242
,1,126.7230994,금마중학교 운동장,충청남도 홍성군 금마면 철마산길 182,,4480032032,4480000000,4480032000,3300,36.62104597,16,충청남도 홍성군 금마면 화양리 306-2,041-630-1594,4000
,1,126.70969,배양초등학교 운동장,충청남도 홍성군 금마면 금마로 23-24 ,,4480032031,4480000000,4480032000,5400,36.61374,17,충청남도 홍성군 금마면 죽림리 381-2,041-630-1594,6545
539-14,1,126.9130674,새숲어린이공원,,,1162010200,1162000000,1162064000,963,37.48240379,96,서울특별시 관악구 신림동 539-14,02-879-4561,1168
,1,126.912237,앵봉산주민쉼터,,,1138010400,1138000000,1138055100,704,37.62437004,70,서울특별시 은평구 갈현동 산 49-22,02-351-8017,853
,1,127.1502547,명일여자고등학교 운동장,서울특별시 강동구 명일로 350(명일동),,1174010100,1174000000,1174054000,5221,37.54956921,54,서울특별시 강동구 명일동 40,02-481-8191,6328
